epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1736.92,1.21525,0.91708,1.38116,0.77176,0.66973,0.74291,0.29181,2.22815,1.10662,2.25928,0.000990365,0.000990365,0.000990365
43,1771.12,1.20771,0.90773,1.37584,0.74803,0.70755,0.73647,0.30395,2.18607,1.09059,2.28584,0.000973861,0.000973861,0.000973861
44,1805.51,1.20182,0.90378,1.36918,0.78998,0.71494,0.73926,0.29541,2.22593,1.11059,2.34535,0.000957358,0.000957358,0.000957358
45,1839.86,1.20084,0.89426,1.36775,0.72417,0.72001,0.72633,0.2959,2.22668,1.14114,2.32197,0.000940855,0.000940855,0.000940855
46,1874.25,1.20246,0.90057,1.36646,0.75305,0.69321,0.71522,0.2869,2.20657,1.12109,2.24104,0.000924352,0.000924352,0.000924352
47,1908.75,1.19153,0.89568,1.36401,0.79449,0.69739,0.74301,0.29497,2.28223,1.12775,2.40602,0.000907848,0.000907848,0.000907848
48,1943.43,1.18707,0.88149,1.35732,0.80362,0.71986,0.74527,0.30761,2.17675,1.09718,2.16421,0.000891345,0.000891345,0.000891345
49,1977.94,1.18901,0.89477,1.36356,0.77455,0.71971,0.74026,0.3015,2.17035,1.10419,2.27186,0.000874842,0.000874842,0.000874842
50,2012.4,1.18252,0.88502,1.35773,0.75751,0.73479,0.75057,0.30284,2.24126,1.08081,2.30449,0.000858338,0.000858338,0.000858338
51,2046.91,1.18164,0.88401,1.3539,0.75007,0.71399,0.73577,0.29674,2.21679,1.12037,2.26857,0.000841835,0.000841835,0.000841835
52,2081.65,1.17177,0.87746,1.35785,0.74164,0.72405,0.73399,0.29814,2.2464,1.0813,2.29133,0.000825332,0.000825332,0.000825332
53,2116.55,1.17316,0.87495,1.34416,0.78204,0.73508,0.74358,0.2925,2.24361,1.10518,2.3574,0.000808828,0.000808828,0.000808828
54,2151.55,1.16505,0.86298,1.3406,0.78346,0.70415,0.72524,0.30241,2.23356,1.0918,2.27549,0.000792325,0.000792325,0.000792325
55,2186.27,1.15764,0.8638,1.34088,0.79242,0.71377,0.76052,0.2977,2.23719,1.08682,2.28649,0.000775822,0.000775822,0.000775822
56,2221.37,1.15793,0.85225,1.33464,0.78408,0.71247,0.74953,0.30273,2.15898,1.12745,2.18091,0.000759318,0.000759318,0.000759318
57,2256.34,1.15964,0.86427,1.33703,0.80267,0.72232,0.74249,0.30304,2.20562,1.1058,2.23911,0.000742815,0.000742815,0.000742815
58,2291.58,1.15697,0.85793,1.33756,0.76102,0.71879,0.74214,0.30647,2.19992,1.07684,2.27974,0.000726312,0.000726312,0.000726312
59,2326.52,1.14635,0.84573,1.3294,0.77669,0.73986,0.74794,0.30108,2.14288,1.09705,2.21453,0.000709809,0.000709809,0.000709809
60,2360.93,1.14332,0.84701,1.33008,0.74843,0.73986,0.74938,0.29971,2.19631,1.08333,2.28177,0.000693305,0.000693305,0.000693305
61,2395.35,1.14107,0.85022,1.32492,0.75764,0.73464,0.7393,0.29841,2.14665,1.12437,2.25639,0.000676802,0.000676802,0.000676802
62,2429.89,1.13655,0.83958,1.32179,0.79041,0.69351,0.72178,0.29608,2.23077,1.1011,2.3026,0.000660299,0.000660299,0.000660299
63,2464.48,1.13035,0.8328,1.32387,0.75327,0.75173,0.73878,0.30319,2.16407,1.03257,2.25411,0.000643795,0.000643795,0.000643795
64,2499.07,1.13424,0.83739,1.32217,0.769,0.7371,0.73849,0.30328,2.1448,1.03619,2.18902,0.000627292,0.000627292,0.000627292
65,2533.69,1.12577,0.83253,1.31636,0.78203,0.73681,0.74402,0.30843,2.15124,1.04663,2.18762,0.000610789,0.000610789,0.000610789
66,2568.7,1.12215,0.82324,1.31669,0.79042,0.71487,0.73587,0.30517,2.16962,1.08633,2.23477,0.000594286,0.000594286,0.000594286
67,2603.41,1.11351,0.82135,1.30532,0.73188,0.74173,0.72095,0.29725,2.26592,1.07497,2.29314,0.000577782,0.000577782,0.000577782
